Code Client;Civilite;Nom;Prenom;Adresse1;CodePostal;Commune;Date Naissance;Date entrée en relation;Email;Twitter;facebook;Klout;Points;AppMobile;Magasin;Newsletter;score parfums BIO;score soleil des iles
4221417;Mme;AKIS;Bernadette;16 RUE DU TORDOIR;2390;ORIGNY SAINTE BENOITE;10-sept-85;24-févr-16;Bernadette.AKIS@gmail.com;http://twitter.com/AKIS;AKIS@facebook.fr;25;217;0;Montparnasse;0;0;1
2691937;Mme;CROVILLE  LUQUET;EMMANUELLE;12 ROUTE DE TORCY;2400;LUCY LE BOCAGE;24-juin-86;24-avr-16;CROVILLE  LUQUET@yahoo.fr;http://twitter.com/CROVILLE  LUQUET;;14;107;0;Montparnasse;1;1;0
3332685;Mme;POULLAIN;Patricia;60 RUE DES TILLEULS;2490;VENDELLES;29-sept-79;28-août-15;Patricia.POULLAIN@icloud.com;;POULLAIN@facebook.fr;14;21;0;Montparnasse;0;0;1
3407786;Mme;LE MOUEL;Francette;60 RUE DES TILLEULS;2490;VENDELLES;26-déc-89;22-août-16;LE MOUEL@yahoo.fr;;;23;158;0;Montparnasse;0;0;0
2621531;Mlle;MONNOT;SEVERINE;10 RUE THERESA MIGNOT;2490;LE VERGUIER;07-déc-66;03-oct-15;SEVERINE.MONNOT@free.fr;;MONNOT@facebook.fr;118;31;0;Montparnasse;0;1;1
3889565;Mlle;BAGGIANI;MARIE LUCE;8 rue du Bois Griffon;2590;AUBIGNY AUX KAISNES;29-mai-83;06-mai-16;BAGGIANI@yahoo.fr;;BAGGIANI@facebook.fr;23;246;0;Montparnasse;1;1;1
2570953;Mme;RIGAUT;MARIE;1 BIS RUE DE LA VALLÉE;2600;HARAMONT;26-août-86;18-avr-15;MARIE.RIGAUT@free.fr;http://twitter.com/RIGAUT;;15;16;1;Montparnasse;0;1;1
3032526;Mlle;BENCHETRIT;BELINDA;2 RUE DU MONT GUYOT;2690;URVILLERS;26-févr-99;19-mars-16;BENCHETRIT@yahoo.fr;http://twitter.com/BENCHETRIT;;15;62;0;Montparnasse;0;1;1
4375547;Mme;PERNOT;Lisiane;28 RUE DEMOSTHENE GAUCHE;2700;MENNESSIS;18-janv-95;28-août-15;Lisiane.PERNOT@gmail.com;http://twitter.com/PERNOT;PERNOT@facebook.fr;7;86;0;Montparnasse;0;0;1
2475676;Mme;SAVOLLE;Nicole;97 CHAUSSEE BRUNEHAUT;2700;CONDRON;30-juil-93;06-avr-15;Nicole_SAVOLLE@outlook.fr;;Nicole.SAVOLLE@facebook.com;17;12;0;Montparnasse;0;0;1
2248275;Mme;DE LABARTHE;Catherine;20 RUE DU GENERAL DE GAULLE;2880;VREGNY;03-févr-70;10-août-16;Catherine.DE LABARTHE@free.fr;http://twitter.com/DE LABARTHE;DE LABARTHE@facebook.fr;111;5;0;Montparnasse;0;0;0
2455938;Mr;ROUVIER;Roger;ROUTE DE BUIX 36;2924;MONTIGNEZ;30-déc-80;24-avr-16;Roger_ROUVIER@outlook.fr;;ROUVIER@facebook.fr;2;100;0;Montparnasse;0;1;0
2928713;Mme;OSIOWSKI;Helene;15 RUE DU PROGRÈS;3000;MOULINS;03-févr-92;01-mars-15;OSIOWSKI@yahoo.fr;http://twitter.com/OSIOWSKI;Helene.OSIOWSKI@facebook.com;2;4;0;Montparnasse;0;0;0
5178496;Mme;RAHAL;Johanna;;3012;WILSELE;07-mars-95;21-oct-16;Johanna.RAHAL@gmail.com;http://twitter.com/RAHAL;;28;105;0;Montparnasse;0;1;1
4551708;Mme;HIBRAN;Sylvie;41 RUE DES LORIOTS;3100;MONTLUCON;16-août-90;17-juil-16;Sylvie.HIBRAN@icloud.com;http://twitter.com/HIBRAN;HIBRAN@facebook.fr;66;44;0;Montparnasse;0;1;1
1484775;Mme;RICHARD;Simone;LIEU DIT PAPON;3120;LAPALISSE;11-mars-93;29-juil-16;Simone.RICHARD@gmail.com;http://twitter.com/Simone.RICHARD;RICHARD@facebook.fr;19;97;0;Montparnasse;0;1;1
3455654;Mme;MENERVILLE;Claude;24;3140;MONESTIER;24-nov-97;09-oct-16;Claude.MENERVILLE@icloud.com;http://twitter.com/Claude.MENERVILLE;Claude.MENERVILLE@facebook.com;0;21;0;Montparnasse;0;1;1
2489476;Mme;TORQUI;Lou;RUE MICHEL BERNARD;3160;BOURBON LARCHAMBAULT;28-janv-84;25-mars-15;TORQUI@yahoo.fr;http://twitter.com/Lou.TORQUI;TORQUI@facebook.fr;39;61;0;Montparnasse;0;0;0
3878896;Mr;VUILLEQUEZ;PIERRE YVES;23RTE DESTIVAREILLES;3190;VERNEIX;05-juil-79;30-avr-15;PIERRE YVES_VUILLEQUEZ@outlook.fr;http://twitter.com/VUILLEQUEZ;;20;142;0;Montparnasse;0;0;0
2621532;Mr;PAILLER;FRANCOIS;12 LA PRUGNE;3190;REUGNY;01-juin-89;05-févr-15;FRANCOIS.PAILLER@free.fr;;PAILLER@facebook.fr;36;126;1;Montparnasse;0;1;0
1992302;Mme;MORISAN;VALERIE;7 RUE DES SOURCES;3200;VICHY;17-juil-76;31-mars-16;MORISAN@yahoo.fr;;MORISAN@facebook.fr;57;92;0;Montparnasse;0;0;1
2397566;Mme;NAZZI;Claude;16 RUE DE LA TOUR;3200;ABREST;15-févr-81;19-mars-16;Claude.NAZZI@icloud.com;;;25;62;0;Montparnasse;0;0;0
2676620;Mme;PICOLO;Michelle;66 RUE DE CES;3290;DOMPIERRE SUR BESBRE;20-nov-81;04-août-15;Michelle_PICOLO@outlook.fr;;Michelle.PICOLO@facebook.com;12;6;0;Montparnasse;0;1;1
3611695;Mme;DECHOZ;Ariane;;3400;YZEURE;16-nov-95;01-mars-15;Ariane_DECHOZ@outlook.fr;http://twitter.com/Ariane.DECHOZ;;149;81;0;Montparnasse;0;0;1
2596551;Mme;LEHIANI;NI;;3400;YZEURE;01-mai-83;09-oct-16;NI.LEHIANI@icloud.com;http://twitter.com/LEHIANI;LEHIANI@facebook.fr;154;12;0;Montparnasse;0;0;1
2740930;Mme;ADERET;NICOLE;88 RUE DU DOCTEUR CHALAIS;3410;DOMERAT;08-août-91;24-avr-16;NICOLE_ADERET@outlook.fr;;;56;67;0;Montparnasse;0;0;0
2878567;Mme;PRUDENZANO;Astrid;19 RUE MARCEAU;3630;DESERTINES;05-oct-57;05-juil-16;PRUDENZANO@yahoo.fr;http://twitter.com/Astrid.PRUDENZANO;;36;35;0;Wagram;0;1;0
3152791;Mme;PICARD;Sylvie;13 RUE CAPITAINE PELLEGRIN;5000;GAP;24-août-83;11-juin-16;PICARD@yahoo.fr;;PICARD@facebook.fr;17;112;0;Montparnasse;0;1;1
4255951;Mme;FALLOPE;DANIELE;ROUTE NATIONALE;5310;LA ROCHE DE RAME;21-oct-79;24-janv-15;DANIELE.FALLOPE@icloud.com;http://twitter.com/FALLOPE;FALLOPE@facebook.fr;68;101;0;Wagram;0;0;1
4463364;Mr;MERESSE;MICHEL;5 B RUE CROS DE CAPEU;6100;NICE;23-nov-80;27-oct-15;MERESSE@yahoo.fr;http://twitter.com/MERESSE;MICHEL.MERESSE@facebook.com;6;83;0;Montparnasse;0;0;1
2318892;Mme;PAITRE;JEANNE;;6130;GRASSE;29-déc-88;24-mai-15;PAITRE@yahoo.fr;;PAITRE@facebook.fr;15;74;1;Wagram;0;0;1
1419451;Mme;JURY;Henriette;327 AVENUE DU GENERAL LECLERC;6140;VENCE;23-juin-70;16-août-15;Henriette.JURY@free.fr;http://twitter.com/JURY;;188;106;0;Montparnasse;0;1;1
2273579;Mme;TAYEBALY;JOSIANNE;1397 ROUTE DE GRASSE;6140;VENCE;03-févr-79;26-nov-16;JOSIANNE.TAYEBALY@icloud.com;http://twitter.com/TAYEBALY;;13;122;0;Montparnasse;0;1;1
1953157;Mme;GAUTHERIN;Jocelyne;295 AVENUE DU MARECHAL JOFFRE;6140;VENCE;04-oct-92;28-août-15;Jocelyne_GAUTHERIN@outlook.fr;;GAUTHERIN@facebook.fr;8;2;0;Montparnasse;0;0;0
3136169;Mme;VAN DEN BUSSCHE;Annick;CHEMIN DE LA COLLE;6160;JUAN LES PIN;17-juin-82;03-oct-15;Annick.VAN DEN BUSSCHE@gmail.com;http://twitter.com/Annick.VAN DEN BUSSCHE;Annick.VAN DEN BUSSCHE@facebook.com;48;85;0;Wagram;0;1;1
2274041;Mlle;LA SELVE;Pamela;112 AV STE MARGUERITE;6200;NICE;13-sept-85;23-juin-16;Pamela.LA SELVE@icloud.com;http://twitter.com/LA SELVE;;8;40;0;Montparnasse;0;1;0
4258348;Mme;DE FALCO;Sylvie;43 RUE DES MAHONIAS;6200;NICE;20-sept-98;14-déc-15;DE FALCO@yahoo.fr;;DE FALCO@facebook.fr;1;79;0;Montparnasse;0;1;0
3093692;Mlle;MEYER;EMMANUELLE;44 BOULEVARD NAPOLEON 3 BETTINA 2;6200;nice;25-nov-83;18-avr-15;EMMANUELLE.MEYER@free.fr;;MEYER@facebook.fr;0;14;0;Montparnasse;0;1;1
4352240;Mme;PINEL;Martine;;6230;villefranche sur mer;24-sept-80;30-avr-15;PINEL@yahoo.fr;;PINEL@facebook.fr;10;218;0;Wagram;0;1;0
3044667;Mme;LE GRAND;NABOU;17 RUE DE ROQUEBILLIERE;6300;NICE;24-oct-81;05-févr-15;LE GRAND@yahoo.fr;http://twitter.com/LE GRAND;;45;170;0;Montparnasse;0;1;1
3868734;Mlle;SOULAT;Lauranne;7 IMPASSE DU STADE;6320;CAP D AIL;10-mars-69;12-févr-16;Lauranne.SOULAT@gmail.com;http://twitter.com/SOULAT;SOULAT@facebook.fr;70;26;0;Montparnasse;0;0;0
2473249;Mme;SCHMITZBERGER;Beatrice;36 ROUTE DE NICE VILLA AURELIA;6320;LA TURBIE;18-avr-93;06-avr-15;Beatrice.SCHMITZBERGER@icloud.com;;SCHMITZBERGER@facebook.fr;19;35;0;Montparnasse;1;1;1
4488509;Mme;HAUSS;ISABELLE;16 AVENUE DU CHATEAU;6340;LA TRINITE;23-mai-84;25-mars-15;ISABELLE.HAUSS@icloud.com;http://twitter.com/HAUSS;ISABELLE.HAUSS@facebook.com;25;122;0;Montparnasse;0;1;1
2619015;Mlle;KAABOUCHE;SOPHIE;5-7 RUE BEAULIEU;6400;CANNES;13-mai-82;13-mars-15;SOPHIE.KAABOUCHE@free.fr;http://twitter.com/SOPHIE.KAABOUCHE;KAABOUCHE@facebook.fr;20;226;0;Montparnasse;0;0;1
4352227;Mme;BOUBEE;Marie France;343 CHEMIN DES ROUBERTS;6480;LA COLLE SUR LUOP;30-janv-77;25-mars-15;BOUBEE@yahoo.fr;http://twitter.com/BOUBEE;;17;118;0;Montparnasse;0;0;0
2248398;Mme;MISEUR;KARINE;11 AVENUE DE VERDUN;6500;MENTON;06-avr-77;05-juil-16;KARINE_MISEUR@outlook.fr;;;30;23;0;Montparnasse;0;0;0
4012617;Mme;PIQUET;Madeleine;91 ROUTRE DE LA MANDA;6510;GATIERES;19-nov-81;05-févr-15;Madeleine.PIQUET@icloud.com;http://twitter.com/PIQUET;Madeleine.PIQUET@facebook.com;84;94;0;Montparnasse;0;0;0
2315261;Mme;MERCATI;SEVERINE;;6510;GATTIERE;22-déc-96;05-juil-16;SEVERINE.MERCATI@free.fr;http://twitter.com/SEVERINE.MERCATI;SEVERINE.MERCATI@facebook.com;2;125;0;Montparnasse;0;0;0
2397556;Mr;ABITBOL;CHRISTIAN;668 ANCIEN CHEMIN DE CABRIS;6530;ST CEZAIRE;25-févr-85;29-juin-15;CHRISTIAN.ABITBOL@free.fr;http://twitter.com/CHRISTIAN.ABITBOL;CHRISTIAN.ABITBOL@facebook.com;22;7;0;Montparnasse;0;1;0
2556160;Mme;DEVRED;Lucette;801 CHEMIN DU MALVAN;6570;ST PAUL DE VENCE;25-févr-71;23-juil-15;Lucette.DEVRED@free.fr;;;27;73;1;Montparnasse;0;0;0
7059974;Mme;OLIVIERI;Karine;8864 ROUTE DE CAGNES;6610;LA GAUDE;14-oct-85;21-sept-15;OLIVIERI@yahoo.fr;http://twitter.com/OLIVIERI;OLIVIERI@facebook.fr;25;8;0;Wagram;0;1;1
5138752;Mme;LEMOSOF;Yvette;48 RUE AUGUSTE RODIN;6700;ST LAURENT DU VAR;03-sept-83;14-nov-16;LEMOSOF@yahoo.fr;http://twitter.com/Yvette.LEMOSOF;;1;78;0;Montparnasse;0;0;0
3227722;Mme;ROVETO;Francoise;160 AVENUE SAINT EXUPERY;6700;ST LAURENT DU VAR;20-mars-94;15-sept-16;ROVETO@yahoo.fr;http://twitter.com/ROVETO;ROVETO@facebook.fr;39;11;0;Montparnasse;0;1;0
6080800;Mme;FISCHER;MARIE;52 CHEMIN DE SAINTE COLOMBE;6800;CAGNES SUR MER;15-sept-87;22-août-16;FISCHER@yahoo.fr;;;1;29;0;Montparnasse;0;1;1
2724441;Mme;LIEVIN;Sabine;2 ALLÉE DES PRUNIERS;6800;CAGNES SUR MER;21-févr-99;03-sept-16;LIEVIN@yahoo.fr;;;19;11;0;Montparnasse;0;1;0
1568148;Mme;CHALLON;Madeleine;29D ROUTE DES AGRIONS;7130;SOYONS;04-sept-87;07-janv-16;CHALLON@yahoo.fr;http://twitter.com/CHALLON;Madeleine.CHALLON@facebook.com;13;67;0;Montparnasse;0;0;1
2803008;Mme;GEORGES;Bleuenn;31 RUE FEUILLET;7130;BINCHE;11-déc-67;31-janv-16;Bleuenn.GEORGES@free.fr;;;3;65;0;Montparnasse;0;1;0
2403057;Mme;GUITTON;Emmanuelle;20 RUE DU MARAIS;7320;BERNISSART;25-mai-89;20-nov-15;Emmanuelle.GUITTON@free.fr;;;49;19;0;Montparnasse;0;1;0
2670556;Mlle;OLIVIER;Danielle;22 RUE MONTAGNARD;7400;ALBA LA ROMAINE;15-juin-77;24-mai-15;OLIVIER@yahoo.fr;http://twitter.com/Danielle.OLIVIER;OLIVIER@facebook.fr;18;37;0;Montparnasse;0;0;0
4650704;Mme;ALLOUCHE;Veronique;41, RUE DE LA TUILERIE;7620;GUIGNIES;29-déc-97;26-déc-15;ALLOUCHE@yahoo.fr;;Veronique.ALLOUCHE@facebook.com;6;8;0;Wagram;0;1;0
2529541;Mme;MOREL;Elsa;142 RUE DE GIBRALTAR;7730;NECHIN;10-juin-81;05-févr-15;Elsa.MOREL@icloud.com;http://twitter.com/Elsa.MOREL;;34;47;0;Montparnasse;0;1;1
3691664;Mme;SKORA;Sandrine;6 RUE DU CENTENAIRE;7783;COMINES-WARNETON;16-mars-89;23-juin-16;SKORA@yahoo.fr;;SKORA@facebook.fr;43;166;0;Montparnasse;0;0;1
2273993;Mr;DEBETZ;Brigitte;29 RUE VICTOR HUGO;8000;CHARLEVILLE MEZIERES;17-janv-80;24-janv-15;Brigitte_DEBETZ@outlook.fr;;;61;21;0;Montparnasse;0;1;1
5491656;Mme;GRENOT;Maha;175 AVENUE CHARLES DE GAULLE;8000;CHARLEVILLE MEZIERES;26-juin-98;18-mai-16;Maha.GRENOT@gmail.com;http://twitter.com/Maha.GRENOT;Maha.GRENOT@facebook.com;5;150;1;Montparnasse;0;0;1
3680556;Mlle;ABRAMATIC;Sylvie;9 rue leonard de vinci;8000;CHARLEVILLE-M;05-nov-72;07-janv-16;Sylvie.ABRAMATIC@gmail.com;http://twitter.com/ABRAMATIC;ABRAMATIC@facebook.fr;16;59;0;Montparnasse;0;1;1
2414198;Mr;FARNIER;MAURICE;8 CHEMIN DE LA FONTAINE DE WARCQ;8000;WARCQ;31-août-75;08-nov-15;FARNIER@yahoo.fr;;MAURICE.FARNIER@facebook.com;10;42;0;Wagram;1;0;1
