ProductCategory,ProductType,ProductGroup,SalesMethod,Country,City,StaffName,Position,ReasonDescription,ReturnedDate,ReturnQuantity,Province
Exercise,Running,Kid's Running Apparel,Web,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Incomplete product,2010-09-23,2,Edinburgh
Exercise,Running,Kid's Running Shoes,Catalog,Netherlands,Amsterdam,Belinda Jansen-Velasquez,Level 1 Sales Representative,Incomplete product,2010-07-29,2,Eilean Siar
Exercise,Running,Kid's Running Shoes,Store,Australia,Melbourne,John Sinden,Level 3 Sales Representative,Wrong product shipped,2011-07-06,12,Enfield
Exercise,Running,Kid's Running Shoes,Store,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Defective product,2011-01-27,6,Essex
Exercise,Running,Kid's Running Shoes,Store,Germany,München,Björn Winkler,Level 3 Sales Representative,Defective product,2011-04-26,6,Falkirk
Exercise,Running,Kid's Running Shoes,Store,United States,Los Angeles,Lowell Johnson,Level 2 Sales Representative,Defective product,2011-08-03,4,Fermanagh
Exercise,Running,Kid's Running Shoes,Web,Australia,Melbourne,Dave Smythe,Level 1 Sales Representative,Unsatisfactory product,2010-02-03,10,Fife
Exercise,Running,Kid's Running Shoes,Web,United States,Seattle,Ashley McCormick,Level 2 Sales Representative,Wrong product shipped,2010-12-17,4,Flintshire
Exercise,Running,Men's Running Apparel,Store,Australia,Melbourne,Donald Ward,Level 2 Sales Representative,Incomplete product,2010-11-29,2,Gateshead
Exercise,Running,Men's Running Apparel,Store,Austria,Wien,Sabine Grüner,Level 3 Sales Representative,Defective product,2011-07-15,4,Glasgow
Exercise,Running,Men's Running Apparel,Store,Japan,Osaka City,Masuzo Kakui,Level 3 Sales Representative,Incomplete product,2011-09-26,4,Gloucestershire
Exercise,Running,Men's Running Apparel,Store,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Defective product,2010-07-29,2,Greenwich
Exercise,Running,Men's Running Apparel,Store,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Incomplete product,2011-11-04,4,Gwynedd
Exercise,Running,Men's Running Apparel,Web,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Defective product,2011-09-25,4,Hackney
Exercise,Running,Men's Running Apparel,Web,France,Paris,Étienne Jauvin,Level 2 Sales Representative,Unsatisfactory product,2011-04-10,68,Halton
Exercise,Running,Men's Running Apparel,Web,Germany,Hamburg,Gunter Erler,Level 2 Sales Representative,Defective product,2011-05-27,4,Hammersmith and Fulham
Exercise,Running,Men's Running Apparel,Web,Mexico,Distrito Federal,Gabriela Rojas,Level 2 Sales Representative,Unsatisfactory product,2010-04-15,8,Hampshire
Exercise,Running,Men's Running Apparel,Web,Netherlands,Amsterdam,Jan Haverkamp,Level 2 Sales Representative,Incomplete product,2010-07-17,2,Haringey
Exercise,Running,Men's Running Apparel,Web,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Defective product,2011-01-08,4,Harrow
Exercise,Running,Men's Running Apparel,Web,United States,Los Angeles,Margaret Lewiston,Level 2 Sales Representative,Defective product,2010-09-04,4,Hartlepool
Exercise,Running,Men's Running Shoes,Store,Canada,Toronto,Samantha Pierce,Level 2 Sales Representative,Defective product,2011-08-08,4,Havering
Exercise,Running,Men's Running Shoes,Store,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Incomplete product,2010-11-09,4,Herefordshire
Exercise,Running,Men's Running Shoes,Store,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Wrong product ordered,2011-10-01,84,Hertfordshire
Exercise,Running,Men's Running Shoes,Store,United States,Los Angeles,Margaret Lewiston,Level 2 Sales Representative,Unsatisfactory product,2010-10-22,16,Highland
Exercise,Running,Men's Running Shoes,Store,United States,Los Angeles,Margaret Lewiston,Level 2 Sales Representative,Unsatisfactory product,2011-12-23,12,Hillingdon
Exercise,Running,Men's Running Shoes,Web,Austria,Wien,Sabine Grüner,Level 3 Sales Representative,Unsatisfactory product,2011-06-04,24,Hounslow
Exercise,Running,Men's Running Shoes,Web,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Wrong product ordered,2011-09-26,24,Inverclyde
Exercise,Running,Men's Running Shoes,Web,United States,Boston,Rhonda Cummings,Level 2 Sales Representative,Defective product,2010-04-26,19,Isle of Wight
Exercise,Running,Men's Running Shoes,Web,United States,Boston,Rhonda Cummings,Level 2 Sales Representative,Unsatisfactory product,2010-04-17,3,Isles of Scilly
Exercise,Running,Men's Running Shoes,Web,United States,Boston,Rhonda Cummings,Level 2 Sales Representative,Unsatisfactory product,2010-05-05,4,Islington
Exercise,Running,Women's Running Apparel,Store,Australia,Melbourne,Donald Ward,Level 2 Sales Representative,Defective product,2010-12-12,2,Kensington and Chelsea
Exercise,Running,Women's Running Apparel,Store,Austria,Wien,Sabine Grüner,Level 3 Sales Representative,Incomplete product,2011-12-03,6,Kent
Exercise,Running,Women's Running Apparel,Store,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Incomplete product,2011-04-03,10,Kingston upon Hull
Exercise,Running,Women's Running Apparel,Store,France,Lyon,Daniel Turpin,Level 2 Sales Representative,Defective product,2011-05-16,6,Kingston upon Thames
Exercise,Running,Women's Running Apparel,Store,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Defective product,2011-03-10,6,Kirklees
Exercise,Running,Women's Running Apparel,Store,Sweden,Kista,Irene Engelbrektsson,Level 2 Sales Representative,Wrong product ordered,2010-10-02,42,Knowsley
Exercise,Running,Women's Running Apparel,Web,Germany,München,Björn Winkler,Level 3 Sales Representative,Defective product,2011-02-20,6,Lambeth
Exercise,Running,Women's Running Apparel,Web,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Incomplete product,2011-11-21,4,Lancashire
Exercise,Running,Women's Running Apparel,Web,Netherlands,Amsterdam,Ellen Shapiro,Level 2 Sales Representative,Defective product,2010-05-04,4,Larne
Exercise,Running,Women's Running Apparel,Web,United States,Seattle,Audrey Lastman,Level 3 Sales Representative,Incomplete product,2011-07-27,4,Leeds
Exercise,Running,Women's Running Shoes,Store,Belgium,Heverlee,Yvette Lattrez,Level 3 Sales Representative,Unsatisfactory product,2011-08-31,28,Leicester
Exercise,Running,Women's Running Shoes,Store,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Defective product,2011-02-18,2,Leicestershire
Exercise,Running,Women's Running Shoes,Store,Netherlands,Amsterdam,Belinda Jansen-Velasquez,Level 1 Sales Representative,Incomplete product,2011-08-23,4,Lewisham
Exercise,Running,Women's Running Shoes,Store,Netherlands,Amsterdam,Maria Laponder,Level 3 Sales Representative,Unsatisfactory product,2011-10-26,28,Limavady
Exercise,Running,Women's Running Shoes,Store,Sweden,Kista,Bengt Gradin,Level 1 Sales Representative,Incomplete product,2011-09-09,4,Lincolnshire
Exercise,Running,Women's Running Shoes,Web,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Incomplete product,2010-11-19,10,Lisburn
Exercise,Running,Women's Running Shoes,Web,Finland,Kuopio,Helena Lindholm,Level 3 Sales Representative,Unsatisfactory product,2010-04-20,68,Liverpool
Exercise,Weight Training,Cross Fitness Training,Store,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Defective product,2010-05-09,2,Luton
Exercise,Weight Training,Cross Fitness Training,Store,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Unsatisfactory product,2010-08-31,14,Magherafelt
Exercise,Weight Training,Cross Fitness Training,Web,France,Lyon,Daniel Turpin,Level 2 Sales Representative,Unsatisfactory product,2011-05-07,32,Manchester
Exercise,Weight Training,Home Gym Equipment,Store,Australia,Melbourne,Dave Smythe,Level 1 Sales Representative,Defective product,2010-06-06,2,Medway
Exercise,Weight Training,Home Gym Equipment,Store,Canada,Toronto,Donald Chow,Level 3 Sales Representative,Defective product,2010-03-10,2,Merseyside
Exercise,Weight Training,Home Gym Equipment,Store,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Defective product,2011-02-08,4,Merthyr Tydfil
Exercise,Weight Training,Home Gym Equipment,Store,United States,Los Angeles,Valerie Cohen,Level 2 Sales Representative,Unsatisfactory product,2010-10-20,20,Merton
Exercise,Weight Training,Home Gym Equipment,Web,France,Paris,Élizabeth Michel,Level 3 Sales Representative,Unsatisfactory product,2011-03-25,60,Middlesbrough
Exercise,Weight Training,Home Gym Equipment,Web,United Kingdom,London,James Ross-Hythe,Level 3 Sales Representative,Defective product,2010-08-10,2,Midlothian
Exercise,Weight Training,Weights,Store,Austria,Wien,Sabine Grüner,Level 3 Sales Representative,Unsatisfactory product,2010-10-14,12,Milton Keynes
Golf Equipment,Golf Accessories,Course Pro Gloves,Store,Austria,Wien,Sabine Grüner,Level 3 Sales Representative,Defective product,2009-11-21,2,Monmouthshire
Golf Equipment,Golf Accessories,Course Pro Gloves,Store,Canada,Toronto,Samantha Pierce,Level 2 Sales Representative,Unsatisfactory product,2010-07-06,50,Moray
Golf Equipment,Golf Accessories,Course Pro Gloves,Store,Netherlands,Amsterdam,Maria Laponder,Level 3 Sales Representative,Wrong product ordered,2010-06-24,68,Moyle
Golf Equipment,Golf Accessories,Course Pro Gloves,Store,United States,Boston,Pierre Lavoie,Level 3 Sales Representative,Defective product,2011-07-15,2,Neath Port Talbot
Golf Equipment,Golf Accessories,Course Pro Gloves,Store,United States,Los Angeles,Margaret Lewiston,Level 2 Sales Representative,Wrong product shipped,2009-12-07,32,Newcastle upon Tyne
Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Store,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Wrong product ordered,2009-09-25,82,Newham
Golf Equipment,Golf Accessories,Course Pro Golf and Tee Set,Store,France,Paris,Élizabeth Michel,Level 3 Sales Representative,Incomplete product,2011-08-17,2,Newport
Golf Equipment,Golf Accessories,Course Pro Golf Bag,Web,France,Lyon,Frédéric Samson,Level 3 Sales Representative,Unsatisfactory product,2011-04-12,6,Newry and Mourne
Golf Equipment,Golf Accessories,Course Pro Umbrella,Web,China,Shanghai,Xiangyong Wang,Level 2 Sales Representative,Incomplete product,2011-10-10,4,Newtownabbey
Golf Equipment,Golf Accessories,Course Pro Umbrella,Web,Spain,Bilbao,Yolanda Torres,Level 3 Sales Representative,Defective product,2010-09-06,4,Norfolk
Golf Equipment,Irons,Hailstorm Steel Irons,Store,United Kingdom,Birmingham,Janet Walker,Level 3 Sales Representative,Defective product,2011-07-25,2,North Ayshire
Golf Equipment,Irons,Hailstorm Steel Irons,Web,France,Lyon,Daniel Turpin,Level 2 Sales Representative,Unsatisfactory product,2010-10-30,32,North Down
Golf Equipment,Irons,Hailstorm Steel Irons,Web,Sweden,Kista,Anders Nilsson,Level 2 Sales Representative,Unsatisfactory product,2011-09-16,2,North East Lincolnshire
Golf Equipment,Irons,Hailstorm Titanium Irons,Store,Canada,Toronto,Brendon Pike,Level 1 Sales Representative,Incomplete product,2011-12-30,4,North Lanarkshire
Golf Equipment,Irons,Hailstorm Titanium Irons,Store,Japan,Osaka City,Masuzo Kakui,Level 3 Sales Representative,Wrong product shipped,2011-07-05,18,North Lincolnshire
Golf Equipment,Irons,Hailstorm Titanium Irons,Store,United States,Boston,Pierre Lavoie,Level 3 Sales Representative,Incomplete product,2010-07-18,2,North Somerset
Golf Equipment,Irons,Lady Hailstorm Steel Irons,Store,China,Shanghai,Xiangyong Wang,Level 2 Sales Representative,Wrong product ordered,2010-02-01,4,North Tyneside
Golf Equipment,Irons,Lady Hailstorm Titanium Irons,Store,Netherlands,Amsterdam,Maria Laponder,Level 3 Sales Representative,Wrong product shipped,2009-09-28,4,North Yorkshire
Golf Equipment,Putters,Blue Steel Max Putter,Store,Spain,Bilbao,Yolanda Torres,Level 3 Sales Representative,Wrong product shipped,2010-12-19,6,Northamptonshire
Golf Equipment,Putters,Blue Steel Putter,Store,Canada,Toronto,Carole Claudel,Level 2 Sales Representative,Wrong product ordered,2010-12-15,34,Northumberland
Golf Equipment,Putters,Blue Steel Putter,Store,China,Shanghai,Fei Meng,Level 3 Sales Representative,Incomplete product,2009-02-11,2,Nottingham
Golf Equipment,Putters,Blue Steel Putter,Store,United States,Miami,Ken Chambers,Level 2 Sales Representative,Wrong product shipped,2009-07-22,12,Nottinghamshire
Golf Equipment,Putters,Course Pro Putter,Catalog,Australia,Melbourne,John Sinden,Level 3 Sales Representative,Wrong product ordered,2010-10-23,16,Oldham
Golf Equipment,Putters,Course Pro Putter,Store,United Kingdom,Birmingham,Josef Lopez,Level 1 Sales Representative,Defective product,2011-01-01,2,Omagh
Golf Equipment,Woods,Hailstorm Titanium Woods Set,Catalog,Italy,Milano,Silvano Allessori,Level 2 Sales Representative,Wrong product ordered,2010-12-29,70,Orkney
Golf Equipment,Woods,Hailstorm Titanium Woods Set,Store,France,Lyon,Frédéric Samson,Level 3 Sales Representative,Defective product,2009-05-20,2,Oxfordshire
Golf Equipment,Woods,Hailstorm Titanium Woods Set,Store,Switzerland,Zürich,Susanne Sommer,Level 2 Sales Representative,Defective product,2011-04-22,2,Pembrokeshire
Golf Equipment,Woods,Hailstorm Titanium Woods Set,Web,France,Lyon,Frédéric Samson,Level 3 Sales Representative,Unsatisfactory product,2011-04-23,12,Perthshire and Kinross
Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,Store,Mexico,Distrito Federal,Gabriela Rojas,Level 2 Sales Representative,Wrong product ordered,2011-10-20,2,Peterborough
Golf Equipment,Woods,Lady Hailstorm Steel Woods Set,Store,United Kingdom,London,Humphrey Willoughby,Level 2 Sales Representative,Unsatisfactory product,2009-07-25,2,Plymouth
Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,Catalog,Germany,Hamburg,Gunter Erler,Level 2 Sales Representative,Unsatisfactory product,2011-03-02,6,Poole
Golf Equipment,Woods,Lady Hailstorm Titanium Woods Set,Store,Germany,München,Björn Winkler,Level 3 Sales Representative,Unsatisfactory product,2009-10-12,6,Portsmouth
Outdoors,Camping and Hiking,Backpacks,Store,Germany,Hamburg,Gunter Erler,Level 2 Sales Representative,Defective product,2010-04-10,2,Powys
Outdoors,Camping and Hiking,Backpacks,Store,Sweden,Kista,Bengt Gradin,Level 1 Sales Representative,Unsatisfactory product,2010-11-09,8,Reading
Outdoors,Camping and Hiking,Backpacks,Web,United States,Miami,Harold Germaine,Level 1 Sales Representative,Unsatisfactory product,2009-11-03,10,Redbridge
Outdoors,Camping and Hiking,Camping Lighting,Store,Canada,Calgary,Harold Townsend,Level 3 Sales Representative,Defective product,2010-04-26,2,Redcar and Cleveland
Outdoors,Camping and Hiking,Camping Lighting,Store,Italy,Milano,Alessandra Torta,Level 3 Sales Representative,Unsatisfactory product,2011-12-05,26,Renfrewshire
Outdoors,Camping and Hiking,Camping Lighting,Web,Belgium,Heverlee,Yvette Lattrez,Level 3 Sales Representative,Unsatisfactory product,2011-12-05,18,Rhondda Cynon Taff
Outdoors,Camping and Hiking,Camping Lighting,Web,Brazil,São Paulo,Eduardo Guimarães,Level 2 Sales Representative,Unsatisfactory product,2010-10-06,66,Richmond upon Thames
Outdoors,Camping and Hiking,Camping Lighting,Web,United States,Boston,Eric Carson,Level 2 Sales Representative,Unsatisfactory product,2009-10-29,30,Rochdale
Outdoors,Camping and Hiking,Camping Lighting,Web,United States,Boston,Pierre Lavoie,Level 3 Sales Representative,Defective product,2010-07-14,2,Rotherham
Outdoors,Camping and Hiking,Knives and Multi-Tools,Store,Canada,Calgary,Harold Townsend,Level 3 Sales Representative,Incomplete product,2009-07-07,2,Royal Borough of Windsor and Maidenhead
Outdoors,Camping and Hiking,Knives and Multi-Tools,Store,Sweden,Kista,Irene Engelbrektsson,Level 2 Sales Representative,Incomplete product,2009-11-14,2,Rutland
