Employe,Matricule,Nom,Prenom,Departement,Poste,Sexe,DateNaissance,Statut Marital,Formation,Deplacement,Pays,Distance Domicile lieu de travail,Salaire,Stocks Option,Heures Sup,Nombre employeurs precedents,Nombre annees de travail,Anciennete,Anciennete dans le poste actuel,Changement de poste en annees,Derniere augmentation,Nombre de formations 2015
1.000000,"10033","Guerin","Paul","R&D","Laboratory Technician","",1986-06-23,"Celibataire","Bac","Occasionnel","France","90 KM",2206.000000,0.000000,"Non",1.000000,10.000000,10.000000,0.000000,1.000000,8.000000,5.000000
1.000000,"10034","Boyer","MARIE-CHRISTINE","Ventes","Sales Representative","1",1977-06-25,"Marie","Bac Plus2","Occasionnel","France","50 KM",2086.000000,1.000000,"Non",3.000000,19.000000,1.000000,0.000000,0.000000,0.000000,6.000000
1.000000,"10035","Garnier","VALERIE","R&D","Research Scientist","1",1992-06-21,"Inc","Bac Plus2","Occasionnel","France","10 KM",2293.000000,1.000000,"Oui",2.000000,6.000000,2.000000,0.000000,2.000000,0.000000,2.000000
1.000000,"10036","Chevalier","MARTIN","R&D","Research Scientist","2",1973-06-26,"Marie","Bac","Occasionnel","France","20 KM",2645.000000,2.000000,"Non",1.000000,6.000000,5.000000,3.000000,1.000000,4.000000,3.000000
1.000000,"10037","Francois","BERNADETTE","Ventes","Sales Representative","1",1966-06-28,"Marie","Bac","Occasionnel","France","30 KM",2683.000000,0.000000,"Oui",1.000000,3.000000,3.000000,2.000000,0.000000,2.000000,2.000000
1.000000,"10038","Legrand","Josette","Ventes","Sales Representative","1",1981-06-24,"Marie","Bac Plus2","Occasionnel","France","20 KM",2014.000000,0.000000,"Non",1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,3.000000
1.000000,"10039","Gauthier","JOSETTE","R&D","Research Scientist","",1980-06-24,"Marie","Bac Plus3","Occasionnel","France","50 KM",3419.000000,1.000000,"Oui",9.000000,6.000000,1.000000,1.000000,0.000000,0.000000,3.000000
1.000000,"10040","Garcia","AGNES","Ventes","Sales Executive","1",1983-06-24,"Marie","Bac Plus2","Nomade","France","10 KM",5376.000000,2.000000,"Non",2.000000,10.000000,5.000000,3.000000,1.000000,3.000000,3.000000
1.000000,"10041","Perrin","CATHERINE","R&D","Laboratory Technician","1",1981-06-24,"Marie","Bac","Occasionnel","France","40 KM",1951.000000,1.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10042","Robin","MARIE JOSEE","R&D","Laboratory Technician","1",1989-06-22,"Marie","Bac Plus3","Occasionnel","France","20 KM",2341.000000,1.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,6.000000
1.000000,"10043","Clement","LAURENT","R&D","Laboratory Technician","2",1990-06-22,"Celibataire","Bac Plus2","Occasionnel","France","250 KM",2293.000000,0.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.000000
1.000000,"10044","Morin","JOSIANE","Ventes","Sales Executive","1",1989-06-22,"Celibataire","Bac Plus2","Nomade","France","80 KM",8726.000000,0.000000,"Non",1.000000,9.000000,9.000000,8.000000,1.000000,7.000000,0.000000
1.000000,"10045","Nicolas","RICHARD","R&D","Laboratory Technician","2",1986-06-23,"Celibataire","Bac","Nomade","France","10 KM",4011.000000,0.000000,"Non",1.000000,12.000000,12.000000,8.000000,3.000000,7.000000,2.000000
1.000000,"10046","Henry","MONIQUE","R&D","Research Director","1",1975-06-26,"Marie","Bac Plus2","Occasionnel","France","120 KM",19545.000000,0.000000,"Non",1.000000,23.000000,22.000000,15.000000,15.000000,8.000000,0.000000
1.000000,"10047","Roussel","GERARD","Ventes","Sales Executive","2",1982-06-24,"Celibataire","Bac Plus3","Sedentaire","France","230 KM",4568.000000,0.000000,"Non",0.000000,10.000000,9.000000,5.000000,8.000000,7.000000,2.000000
1.000000,"10048","Mathieu","MONIQUE","R&D","Research Scientist","1",1979-06-25,"Marie","Bac","Occasionnel","France","190 KM",3022.000000,0.000000,"Non",4.000000,8.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1.000000,"10049","Gautier","ELZBIETA","Ventes","Sales Executive","1",1970-06-27,"Celibataire","Bac Plus3","Nomade","France","50 KM",5772.000000,0.000000,"Oui",4.000000,14.000000,9.000000,6.000000,0.000000,8.000000,4.000000
1.000000,"10050","Masson","Paul","R&D","Laboratory Technician","1",1981-06-24,"Marie","Sans","Occasionnel","France","80 KM",2269.000000,0.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,2.000000
1.000000,"10051","Marchand","BRUNO","R&D","Laboratory Technician","1",1968-06-27,"Celibataire","Bac","Occasionnel","France","10 KM",5381.000000,0.000000,"Oui",9.000000,23.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10052","Duval","VALERIE","R&D","Laboratory Technician","1",1988-06-22,"Celibataire","Bac Plus3","Occasionnel","France","50 KM",3441.000000,0.000000,"Oui",1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,3.000000
1.000000,"10053","Denis","BERNADETTE","Ventes","Sales Executive","1",1972-06-26,"Marie","Bac Plus5","Occasionnel","France","10 KM",5454.000000,1.000000,"Oui",5.000000,9.000000,4.000000,3.000000,1.000000,3.000000,2.000000
1.000000,"10054","Dumont","Francine","R&D","Healthcare Representative","",1981-06-24,"Marie","Bac","Sedentaire","France","110 KM",9884.000000,1.000000,"Oui",2.000000,10.000000,4.000000,0.000000,2.000000,3.000000,3.000000
1.000000,"10055","Marie","Cecile","Ventes","Sales Executive","1",1990-06-22,"Marie","Bac Plus2","Occasionnel","France","230 KM",4157.000000,1.000000,"Oui",7.000000,5.000000,2.000000,2.000000,0.000000,0.000000,2.000000
1.000000,"10056","Lemaire","VIVIANE","R&D","Research Director","1",1983-06-24,"Celibataire","Bac","Nomade","France","10 KM",13458.000000,0.000000,"Oui",1.000000,15.000000,15.000000,14.000000,8.000000,12.000000,1.000000
1.000000,"10057","Noel","VERONIQUE","Ventes","Sales Executive","1",1981-06-24,"Marie","Bac Plus5","Nomade","France","180 KM",9069.000000,1.000000,"Non",1.000000,9.000000,9.000000,8.000000,1.000000,8.000000,3.000000
1.000000,"10058","Meyer","JEAN JACQUES","R&D","Laboratory Technician","2",1981-06-24,"Marie","Bac Plus3","Occasionnel","France","230 KM",4014.000000,1.000000,"Oui",3.000000,4.000000,2.000000,2.000000,2.000000,2.000000,3.000000
1.000000,"10059","Dufour","MARIE AGNES","R&D","Laboratory Technician","",1985-06-23,"Marie","Bac Plus3","Occasionnel","France","70 KM",5915.000000,1.000000,"Non",3.000000,10.000000,7.000000,7.000000,1.000000,7.000000,3.000000
1.000000,"10060","Meunier","Patrice","R&D","Manufacturing Director","1",1979-06-25,"Marie","Bac Plus3","Occasionnel","France","10 KM",5993.000000,1.000000,"Non",1.000000,7.000000,7.000000,5.000000,0.000000,7.000000,2.000000
1.000000,"10061","Brun","ROSE MARIE","R&D","Manufacturing Director","1",1984-06-23,"Marie","Bac Plus2","Occasionnel","France","10 KM",6162.000000,1.000000,"Oui",1.000000,9.000000,9.000000,8.000000,7.000000,8.000000,3.000000
1.000000,"10062","Blanchard","MARIE CLAIRE","R&D","Laboratory Technician","1",1978-06-25,"Celibataire","Bac Plus5","Nomade","France","290 KM",2406.000000,0.000000,"Non",1.000000,10.000000,10.000000,3.000000,9.000000,9.000000,2.000000
1.000000,"10063","Giraud","FLORENCE","R&D","Research Director","",1966-06-28,"Marie","Bac","Occasionnel","France","70 KM",18740.000000,1.000000,"Oui",5.000000,29.000000,27.000000,3.000000,13.000000,8.000000,2.000000
1.000000,"10064","Joly","MARC","Ventes","Sales Executive","2",1957-06-30,"Celibataire","Bac Plus2","Occasionnel","France","250 KM",7637.000000,0.000000,"Non",7.000000,28.000000,21.000000,16.000000,7.000000,9.000000,3.000000
1.000000,"10065","Riviere","SABINE","R&D","Healthcare Representative","1",1980-06-24,"Marie","Bac Plus2","Occasionnel","France","80 KM",10096.000000,3.000000,"Non",1.000000,17.000000,17.000000,14.000000,12.000000,8.000000,2.000000
1.000000,"10066","Lucas","ODILE","R&D","Manager","1",1961-06-29,"Marie","Bac Plus2","Occasionnel","France","80 KM",14756.000000,3.000000,"Oui",2.000000,21.000000,5.000000,0.000000,0.000000,2.000000,2.000000
1.000000,"10067","Brunet","MARTINE","R&D","Manufacturing Director","1",1980-06-24,"Celibataire","Bac Plus2","Nomade","France","110 KM",6499.000000,0.000000,"Non",1.000000,6.000000,6.000000,5.000000,0.000000,3.000000,3.000000
1.000000,"10068","Gaillard","CATHERINE","R&D","Research Scientist","1",1971-06-27,"Marie","Bac Plus2","Occasionnel","France","70 KM",9724.000000,1.000000,"Non",2.000000,25.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10069","Barbier","CHRISTOPHE","R&D","Research Scientist","2",1981-06-24,"Marie","Bac Plus2","Nomade","France","10 KM",2194.000000,1.000000,"Non",4.000000,5.000000,3.000000,2.000000,1.000000,2.000000,2.000000
1.000000,"10070","Arnaud","SANDRINE","R&D","Research Scientist","1",1980-06-24,"Marie","Bac Plus2","Occasionnel","France","90 KM",3388.000000,1.000000,"Oui",0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1.000000,"10071","Martinez","","Ventes","Sales Executive","1",1957-06-30,"Inc","Sans","Nomade","France","10 KM",5473.000000,0.000000,"Non",7.000000,20.000000,4.000000,3.000000,1.000000,3.000000,2.000000
1.000000,"10072","Gerard","Patrice","R&D","Research Scientist","1",1987-06-23,"Marie","Bac Plus2","Occasionnel","France","20 KM",2703.000000,1.000000,"Non",0.000000,6.000000,5.000000,4.000000,0.000000,4.000000,3.000000
1.000000,"10073","Roche","JEAN-PIERRE","R&D","Research Scientist","2",1985-06-23,"Celibataire","Bac Plus3","Occasionnel","France","10 KM",2501.000000,0.000000,"Non",1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,4.000000
1.000000,"10074","Renard","SEBASTIEN","R&D","Research Scientist","2",1984-06-23,"Marie","Bac Plus2","Occasionnel","France","10 KM",6220.000000,2.000000,"Non",1.000000,10.000000,10.000000,4.000000,0.000000,9.000000,3.000000
1.000000,"10075","Schmitt","MARIE ANGE","R&D","Laboratory Technician","",1980-06-24,"Marie","Bac Plus2","Occasionnel","France","60 KM",3038.000000,0.000000,"Non",3.000000,5.000000,1.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10076","Roy","FRANCE","R&D","Manufacturing Director","1",1985-06-23,"Celibataire","Bac Plus3","Occasionnel","France","80 KM",4424.000000,0.000000,"Non",1.000000,11.000000,11.000000,7.000000,1.000000,8.000000,2.000000
1.000000,"10077","Leroux","Paul","Ventes","Sales Executive","1",1981-06-24,"Celibataire","Bac Plus3","Occasionnel","France","10 KM",4312.000000,0.000000,"Non",0.000000,16.000000,15.000000,13.000000,2.000000,8.000000,2.000000
1.000000,"10078","Colin","MARIE NOL","R&D","Research Director","1",1971-06-27,"Marie","Bac Plus3","Occasionnel","France","60 KM",13245.000000,0.000000,"Oui",4.000000,17.000000,0.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10079","Vidal","CHRISTIAN","R&D","Research Director","2",1979-06-25,"Celibataire","Bac Plus3","Occasionnel","France","70 KM",13664.000000,0.000000,"Non",4.000000,16.000000,5.000000,2.000000,0.000000,2.000000,3.000000
1.000000,"10080","Caron","Jeanne-marie","RH","Human Resources","1",1970-06-27,"Marie","Bac","Occasionnel","France","50 KM",5021.000000,1.000000,"Oui",8.000000,16.000000,4.000000,2.000000,0.000000,2.000000,2.000000
1.000000,"10081","Picard","Philippe","R&D","Laboratory Technician","",1986-06-23,"Marie","Sans","Occasionnel","France","10 KM",5126.000000,2.000000,"Oui",1.000000,10.000000,10.000000,8.000000,3.000000,0.000000,1.000000
1.000000,"10082","Roger","ANNE MARIE","R&D","Research Scientist","1",1981-06-24,"Inc","Bac Plus2","Occasionnel","France","10 KM",2859.000000,0.000000,"Non",1.000000,6.000000,6.000000,4.000000,0.000000,4.000000,3.000000
1.000000,"10083","Fabre","MARCELLE","Ventes","Sales Executive","1",1961-06-29,"Marie","Bac","Occasionnel","France","10 KM",10239.000000,1.000000,"Non",3.000000,24.000000,1.000000,0.000000,1.000000,0.000000,4.000000
1.000000,"10084","Aubert","ARLETTE","R&D","Research Scientist","1",1978-06-25,"Marie","Bac Plus2","Sedentaire","France","60 KM",5329.000000,3.000000,"Oui",7.000000,17.000000,13.000000,11.000000,1.000000,9.000000,3.000000
1.000000,"10085","Lemoine","FRANCOISE","R&D","Manufacturing Director","1",1982-06-24,"Marie","Bac","Occasionnel","France","10 KM",4325.000000,0.000000,"Non",1.000000,5.000000,5.000000,2.000000,1.000000,3.000000,2.000000
1.000000,"10086","Renaud","Paul","R&D","Manufacturing Director","1",1960-06-29,"Celibataire","Bac Plus2","Occasionnel","France","70 KM",7260.000000,0.000000,"Non",4.000000,37.000000,6.000000,4.000000,0.000000,2.000000,3.000000
1.000000,"10087","Dumas","JACQUES","Ventes","Sales Representative","2",1993-06-21,"Marie","Sans","Occasionnel","France","20 KM",2322.000000,1.000000,"Non",3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,3.000000
1.000000,"10088","Lacroix","PAULETTE","R&D","Laboratory Technician","",1965-06-28,"Marie","Bac Plus3","Occasionnel","France","90 KM",2075.000000,2.000000,"Non",3.000000,10.000000,4.000000,2.000000,0.000000,3.000000,4.000000
1.000000,"10089","Olivier","DOMINIQUE","R&D","Healthcare Representative","2",1986-06-23,"Marie","Bac Plus2","Occasionnel","France","20 KM",4152.000000,3.000000,"Non",1.000000,11.000000,11.000000,10.000000,10.000000,8.000000,3.000000
1.000000,"10090","Philippe","SYLVAIN","Ventes","Sales Executive","2",1970-06-27,"Celibataire","Bac","Occasionnel","France","90 KM",9619.000000,0.000000,"Non",1.000000,9.000000,9.000000,8.000000,4.000000,7.000000,3.000000
1.000000,"10091","Bourgeois","GILBERTE","R&D","Healthcare Representative","1",1976-06-25,"Inc","Bac Plus3","Nomade","France","10 KM",13503.000000,1.000000,"Non",1.000000,22.000000,22.000000,3.000000,11.000000,11.000000,3.000000
1.000000,"10092","Pierre","Christine","Ventes","Sales Executive","1",1965-06-28,"Celibataire","Bac Plus3","Occasionnel","France","210 KM",5441.000000,0.000000,"Oui",0.000000,11.000000,10.000000,7.000000,1.000000,0.000000,2.000000
1.000000,"10093","Benoit","MARIE-CLAUDE","Ventes","Sales Executive","1",1986-06-23,"Marie","Bac","Occasionnel","France","40 KM",5209.000000,3.000000,"Oui",1.000000,11.000000,11.000000,8.000000,2.000000,7.000000,4.000000
1.000000,"10094","Rey","ELISABETH","R&D","Healthcare Representative","1",1970-06-27,"Marie","Bac Plus2","Nomade","France","10 KM",10673.000000,1.000000,"Oui",2.000000,21.000000,10.000000,9.000000,9.000000,5.000000,5.000000
1.000000,"10095","Leclerc","SOPHIE","Ventes","Sales Executive","",1984-06-23,"Celibataire","Bac Plus3","Occasionnel","France","60 KM",5010.000000,0.000000,"Non",1.000000,12.000000,11.000000,8.000000,5.000000,7.000000,0.000000
1.000000,"10096","Payet","DANIELLE","R&D","Research Director","1",1962-06-29,"Marie","Bac Plus3","Occasionnel","France","20 KM",13549.000000,1.000000,"Non",9.000000,16.000000,4.000000,3.000000,0.000000,3.000000,5.000000
1.000000,"10097","Rolland","Christine","Ventes","Sales Executive","1",1992-06-21,"Marie","Bac","Occasionnel","France","30 KM",4999.000000,1.000000,"Non",0.000000,4.000000,3.000000,2.000000,0.000000,2.000000,2.000000
1.000000,"10098","Leclercq","THERESE","Ventes","Sales Executive","1",1988-06-22,"Marie","Bac Plus2","Sedentaire","France","40 KM",4221.000000,0.000000,"Non",1.000000,5.000000,5.000000,4.000000,0.000000,4.000000,3.000000
1.000000,"10099","Guillaume","CHRISTIANE","Ventes","Sales Executive","",1958-06-30,"Celibataire","Bac Plus3","Occasionnel","Switzerland","10 KM",13872.000000,0.000000,"Non",0.000000,38.000000,37.000000,10.000000,1.000000,8.000000,1.000000
1.000000,"10100","Lecomte","ISABELLE","R&D","Laboratory Technician","1",1972-06-26,"Marie","Bac Plus2","Sedentaire","Switzerland","12 KM",2042.000000,1.000000,"Non",4.000000,17.000000,3.000000,2.000000,1.000000,2.000000,3.000000
1.000000,"10101","Lopez","ERIC","RH","Human Resources","2",1979-06-25,"Marie","Bac Plus3","Occasionnel","Switzerland","14 KM",2073.000000,0.000000,"Oui",4.000000,7.000000,3.000000,2.000000,0.000000,2.000000,3.000000
1.000000,"10102","Jean","Philippe","R&D","Research Scientist","1",1984-06-23,"Celibataire","Sans","Occasionnel","Switzerland","16 KM",2956.000000,0.000000,"Non",1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10103","Dupuy","SIMONE","R&D","Laboratory Technician","1",1996-06-20,"Celibataire","Bac Plus2","Nomade","Switzerland","18 KM",2926.000000,0.000000,"Oui",1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,5.000000
1.000000,"10104","Guillot","MARTINE","R&D","Research Scientist","",1982-06-24,"Celibataire","Bac Plus3","Occasionnel","Switzerland","20 KM",4809.000000,0.000000,"Non",1.000000,16.000000,16.000000,13.000000,2.000000,10.000000,3.000000
1.000000,"10105","Hubert","SABINE","R&D","Healthcare Representative","1",1979-06-25,"Marie","Bac","Sedentaire","Switzerland","22 KM",5163.000000,1.000000,"Non",5.000000,17.000000,1.000000,0.000000,0.000000,0.000000,2.000000
1.000000,"10106","Berger","FREDERIQUE","RH","Manager","1",1957-06-30,"Marie","Bac Plus3","Sedentaire","Switzerland","24 KM",18844.000000,1.000000,"Non",9.000000,30.000000,3.000000,2.000000,2.000000,2.000000,3.000000
1.000000,"10107","Carpentier","GISLHAINE","R&D","Research Director","",1966-06-28,"Marie","Bac Plus2","Nomade","Switzerland","26 KM",18172.000000,0.000000,"Oui",3.000000,28.000000,8.000000,3.000000,0.000000,7.000000,1.000000
1.000000,"10108","Sanchez","CLAUDIE","Ventes","Sales Executive","",1991-06-22,"Celibataire","Bac Plus2","Occasionnel","Switzerland","28 KM",5744.000000,0.000000,"Oui",1.000000,6.000000,6.000000,4.000000,0.000000,3.000000,1.000000
1.000000,"10109","Dupuis","MARIE","R&D","Research Scientist","1",1991-06-22,"Marie","Sans","Occasionnel","Switzerland","30 KM",2889.000000,2.000000,"Non",1.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000
1.000000,"10110","Moulin","Cecile","R&D","Laboratory Technician","",1994-06-21,"Celibataire","Bac Plus2","Occasionnel","Switzerland","32 KM",2871.000000,0.000000,"Non",1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,5.000000
1.000000,"10111","Louis","CATHERINE","R&D","Healthcare Representative","1",1965-06-28,"Celibataire","Bac Plus3","Nomade","Switzerland","34 KM",7484.000000,0.000000,"Non",3.000000,23.000000,13.000000,12.000000,12.000000,8.000000,1.000000
1.000000,"10112","Deschamps","Philippe","R&D","Laboratory Technician","1",1982-06-24,"Celibataire","Bac Plus2","Nomade","Switzerland","40 KM",6074.000000,0.000000,"Oui",1.000000,9.000000,9.000000,7.000000,0.000000,6.000000,3.000000
1.000000,"10113","Huet","CATHERINE","RH","Manager","1",1962-06-29,"Celibataire","Bac Plus2","Sedentaire","Switzerland","10 KM",17328.000000,0.000000,"Oui",2.000000,23.000000,5.000000,3.000000,4.000000,4.000000,3.000000
1.000000,"10114","Vasseur","ISABELLE","R&D","Laboratory Technician","1",1992-06-21,"Marie","Sans","Occasionnel","Switzerland","12 KM",2774.000000,1.000000,"Non",0.000000,6.000000,5.000000,3.000000,1.000000,2.000000,2.000000
1.000000,"10115","Perez","Eric","R&D","Research Scientist","1",1982-06-24,"Marie","Bac Plus3","Occasionnel","Switzerland","14 KM",4505.000000,1.000000,"Non",6.000000,12.000000,1.000000,0.000000,0.000000,0.000000,3.000000
